10:49:58.288 ERROR vert.x-eventloop-thread-0 ConnectionBase       : java.io.IOException: Se ha forzado la interrupción de una conexión existente por el host remoto
10:50:06.591 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8121ms
10:50:06.592 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.806 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8336ms
10:50:06.806 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:06.981 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8512ms
10:50:06.981 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.020 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8550ms
10:50:07.024 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.040 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8569ms
10:50:07.041 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.047 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8576ms
10:50:07.047 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.424 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|8953ms
10:50:07.425 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.548 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9077ms
10:50:07.549 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.703 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9231ms
10:50:07.703 INFO  vert.x-eventloop-thread-0 SsoService           : sso ping {"result": "false"}
10:50:07.718 INFO  vert.x-eventloop-thread-0 BaseServiceProxy     : -> GET /sso/ping,200|9246ms
